date,query,page,clicks,impressions,ctr,position
2025-10-01,seo audit checklist,/blog/seo-audit-checklist,2,44,,6.84
2025-10-01,how to do seo audit,/blog/seo-audit-checklist,2,207,0.0097,14.76
2025-10-01,website seo audit,/blog/seo-audit-checklist,4,148,0.027,11.51
2025-10-01,technical seo guide,/blog/technical-seo-guide,5,228,0.0219,10.93
2025-10-01,technical seo checklist,/blog/technical-seo-guide,3,127,0.0236,14.11
2025-10-01,improve crawlability,/blog/technical-seo-guide,2,79,0.0253,15.51
2025-10-01,seo audit checklist,/blog/technical-seo-guide,2,130,0.0154,12.48
2025-10-01,ecommerce seo tips,/blog/ecommerce-seo-tips,1,55,0.0182,14.51
2025-10-01,seo for online store,/blog/ecommerce-seo-tips,2,45,0.0444,8.28
2025-10-01,product page seo,/blog/ecommerce-seo-tips,4,145,0.0276,10.38
2025-10-01,local seo milan,/blog/local-seo-milan,0,116,0.0259,13.13
2025-10-01,seo specialist milan,/blog/local-seo-milan,1,39,0.0256,12.65
2025-10-01,google maps seo,/blog/local-seo-milan,5,173,0.0289,9.37
2025-10-01,seo consultant,/services/seo-consulting,8,142,0.0563,6.54
2025-10-01,seo consulting services,/services/seo-consulting,4,152,0.0263,9.34
2025-10-01,freelance seo specialist,/services/seo-consulting,3,48,0.0625,6.5
2025-10-01,technical seo services,/services/technical-seo,4,221,0.0181,11.97
2025-10-01,site speed seo,/services/technical-seo,3,90,0.0333,10.73
2025-10-01,core web vitals seo,/services/technical-seo,4,169,0.0237,13.29
2025-10-01,technical seo guide,/services/technical-seo,2,81,0.0247,12.52
2025-10-01,keyword clustering,/blog/keyword-clustering,2,152,0.0132,13.53
2025-10-01,seo keyword grouping,/blog/keyword-clustering,4,150,0.0267,9.72
2025-10-01,cluster keywords,/blog/keyword-clustering,5,102,0.049,9.9
2025-10-01,internal linking strategy,/blog/internal-linking-strategy,6,113,0.0531,7.54
2025-10-01,how to internal link,/blog/internal-linking-strategy,6,162,0.037,9.66
2025-10-01,seo internal links,/blog/internal-linking-strategy,4,113,0.0354,13.34
2025-10-02,seo audit checklist,/blog/seo-audit-checklist,6,211,0.0284,9.61
2025-10-02,how to do seo audit,/blog/seo-audit-checklist,2,95,0.0211,14.43
2025-10-02,website seo audit,/blog/seo-audit-checklist,10,259,0.0386,6.47
2025-10-02,technical seo guide,/blog/technical-seo-guide,5,201,0.0249,12.99
2025-10-02,technical seo checklist,/blog/technical-seo-guide,4,112,0.0357,9.29
2025-10-02,improve crawlability,/blog/technical-seo-guide,3,129,0.0233,13.5
2025-10-02,seo audit checklist,/blog/technical-seo-guide,4,122,0.0328,8.35
2025-10-02,ecommerce seo tips,/blog/ecommerce-seo-tips,3,154,0.0195,9.47
2025-10-02,seo for online store,/blog/ecommerce-seo-tips,5,135,0.037,9.12
2025-10-02,product page seo,/blog/ecommerce-seo-tips,3,95,0.0316,12.92
2025-10-02,local seo milan,/blog/local-seo-milan,2,80,0.025,10.61
2025-10-02,seo specialist milan,/blog/local-seo-milan,1,74,0.0135,10.68
2025-10-02,google maps seo,/blog/local-seo-milan,8,179,0.0447,5.71
2025-10-02,seo consultant,/services/seo-consulting,1,31,0.0323,11.4
2025-10-02,seo consulting services,/services/seo-consulting,2,94,0.0213,15.0
2025-10-02,freelance seo specialist,/services/seo-consulting,1,62,0.0161,12.75
2025-10-02,technical seo services,/services/technical-seo,9,177,0.0508,6.0
2025-10-02,site speed seo,/services/technical-seo,1,62,0.0161,13.16
2025-10-02,core web vitals seo,/services/technical-seo,3,139,0.0216,10.75
2025-10-02,technical seo guide,/services/technical-seo,7,86,0.0814,4.02
2025-10-02,keyword clustering,/blog/keyword-clustering,3,100,0.03,11.93
2025-10-02,seo keyword grouping,/blog/keyword-clustering,2,138,0.0145,17.41
2025-10-02,cluster keywords,/blog/keyword-clustering,4,123,0.0325,11.72
2025-10-02,internal linking strategy,/blog/internal-linking-strategy,1,30,0.0333,16.44
2025-10-02,how to internal link,/blog/internal-linking-strategy,1,129,0.0078,16.85
2025-10-02,seo internal links,/blog/internal-linking-strategy,1,40,0.025,8.44
2025-10-03,seo audit checklist,/blog/seo-audit-checklist,17,258,0.0659,5.49
2025-10-03,how to do seo audit,/blog/seo-audit-checklist,3,161,0.0186,10.11
2025-10-03,website seo audit,/blog/seo-audit-checklist,4,122,0.0328,12.25
2025-10-03,technical seo guide,/blog/technical-seo-guide,6,123,0.0488,18.99
2025-10-03,technical seo checklist,/blog/technical-seo-guide,3,114,0.0263,7.04
2025-10-03,improve crawlability,/blog/technical-seo-guide,3,175,0.0171,12.07
2025-10-03,seo audit checklist,/blog/technical-seo-guide,6,153,0.0392,8.55
2025-10-03,ecommerce seo tips,/blog/ecommerce-seo-tips,2,105,0.019,15.26
2025-10-03,seo for online store,/blog/ecommerce-seo-tips,3,108,0.0278,6.86
2025-10-03,product page seo,/blog/ecommerce-seo-tips,1,40,0.025,9.05
2025-10-03,local seo milan,/blog/local-seo-milan,4,112,0.0357,11.52
2025-10-03,seo specialist milan,/blog/local-seo-milan,3,112,0.0268,9.0
2025-10-03,google maps seo,/blog/local-seo-milan,3,56,0.0536,8.1
2025-10-03,seo consultant,/services/seo-consulting,1,22,0.0455,6.51
2025-10-03,seo consulting services,/services/seo-consulting,5,180,0.0278,13.53
2025-10-03,freelance seo specialist,/services/seo-consulting,2,70,0.0286,9.17
2025-10-03,technical seo services,/services/technical-seo,5,231,0.0216,11.58
2025-10-03,site speed seo,/services/technical-seo,9,175,0.0514,4.9
2025-10-03,core web vitals seo,/services/technical-seo,1,42,0.0238,16.12
2025-10-03,technical seo guide,/services/technical-seo,8,210,0.0381,9.33
2025-10-03,keyword clustering,/blog/keyword-clustering,2,96,0.0208,11.88
2025-10-03,seo keyword grouping,/blog/keyword-clustering,2,70,0.0286,15.43
2025-10-03,cluster keywords,/blog/keyword-clustering,2,141,0.0142,11.73
2025-10-03,internal linking strategy,/blog/internal-linking-strategy,11,143,0.0769,5.53
2025-10-03,how to internal link,/blog/internal-linking-strategy,1,28,0.0357,10.28
2025-10-03,seo internal links,/blog/internal-linking-strategy,2,158,0.0127,16.85
2025-10-04,seo audit checklist,/blog/seo-audit-checklist,2,90,0.0222,13.57
2025-10-04,how to do seo audit,/blog/seo-audit-checklist,3,97,0.0309,10.98
2025-10-04,website seo audit,/blog/seo-audit-checklist,5,245,0.0204,16.63
2025-10-04,technical seo guide,/blog/technical-seo-guide,0,23,0.0,13.58
2025-10-04,technical seo checklist,/blog/technical-seo-guide,2,83,0.0241,7.63
2025-10-04,improve crawlability,/blog/technical-seo-guide,4,102,0.0392,7.49
2025-10-04,seo audit checklist,/blog/technical-seo-guide,2,29,0.069,5.69
2025-10-04,ecommerce seo tips,/blog/ecommerce-seo-tips,4,138,0.029,9.06
2025-10-04,seo for online store,/blog/ecommerce-seo-tips,1,39,0.0256,13.15
2025-10-04,product page seo,/blog/ecommerce-seo-tips,2,99,0.0202,10.38
2025-10-04,local seo milan,/blog/local-seo-milan,2,80,0.025,11.97
2025-10-04,seo specialist milan,/blog/local-seo-milan,1,16,0.0625,6.66
2025-10-04,google maps seo,/blog/local-seo-milan,5,143,0.035,21.07
2025-10-04,seo consultant,/services/seo-consulting,4,87,0.046,6.39
2025-10-04,seo consulting services,/services/seo-consulting,4,90,0.0444,7.44
2025-10-04,freelance seo specialist,/services/seo-consulting,1,96,0.0104,14.62
2025-10-04,technical seo services,/services/technical-seo,19,74,0.2568,1.21
2025-10-04,site speed seo,/services/technical-seo,8,152,0.0526,5.55
2025-10-04,core web vitals seo,/services/technical-seo,1,36,0.0278,14.3
2025-10-04,technical seo guide,/services/technical-seo,10,99,0.101,2.77
2025-10-04,keyword clustering,/blog/keyword-clustering,5,107,0.0467,5.85
2025-10-04,seo keyword grouping,/blog/keyword-clustering,3,58,0.0517,18.35
2025-10-04,cluster keywords,/blog/keyword-clustering,6,166,0.0361,9.53
2025-10-04,internal linking strategy,/blog/internal-linking-strategy,0,28,0.0,17.91
2025-10-04,how to internal link,/blog/internal-linking-strategy,5,173,0.0289,14.11
2025-10-04,seo internal links,/blog/internal-linking-strategy,1,40,0.025,9.5
2025-10-05,seo audit checklist,/blog/seo-audit-checklist,4,132,0.0303,10.05
2025-10-05,how to do seo audit,/blog/seo-audit-checklist,1,51,0.0196,11.93
2025-10-05,website seo audit,/blog/seo-audit-checklist,3,125,0.024,15.05
2025-10-05,technical seo guide,/blog/technical-seo-guide,4,146,0.0274,12.41
2025-10-05,technical seo checklist,/blog/technical-seo-guide,8,177,0.0452,8.11
2025-10-05,improve crawlability,/blog/technical-seo-guide,8,165,0.0485,10.61
2025-10-05,seo audit checklist,/blog/technical-seo-guide,3,176,0.017,12.54
2025-10-05,ecommerce seo tips,/blog/ecommerce-seo-tips,7,113,0.0619,6.55
2025-10-05,seo for online store,/blog/ecommerce-seo-tips,0,34,0.0,12.92
2025-10-05,product page seo,/blog/ecommerce-seo-tips,1,25,,14.71
2025-10-05,local seo milan,/blog/local-seo-milan,2,45,0.0444,9.11
2025-10-05,seo specialist milan,/blog/local-seo-milan,4,146,0.0274,11.21
2025-10-05,google maps seo,/blog/local-seo-milan,5,142,0.0352,9.99
2025-10-05,seo consultant,/services/seo-consulting,0,39,0.0,15.69
2025-10-05,seo consulting services,/services/seo-consulting,5,149,0.0336,10.51
2025-10-05,freelance seo specialist,/services/seo-consulting,2,82,0.0244,8.31
2025-10-05,technical seo services,/services/technical-seo,1,56,0.0179,16.71
2025-10-05,site speed seo,/services/technical-seo,2,87,0.023,13.26
2025-10-05,core web vitals seo,/services/technical-seo,5,90,0.0556,5.59
2025-10-05,technical seo guide,/services/technical-seo,3,100,0.03,15.0
2025-10-05,keyword clustering,/blog/keyword-clustering,4,161,0.0248,15.71
2025-10-05,seo keyword grouping,/blog/keyword-clustering,2,98,0.0204,17.98
2025-10-05,cluster keywords,/blog/keyword-clustering,2,51,0.0392,9.81
2025-10-05,internal linking strategy,/blog/internal-linking-strategy,7,153,0.0458,8.21
2025-10-05,how to internal link,/blog/internal-linking-strategy,0,22,0.0,14.13
2025-10-05,seo internal links,/blog/internal-linking-strategy,1,51,0.0196,15.68
2025-10-06,seo audit checklist,/blog/seo-audit-checklist,2,171,0.0117,13.92
2025-10-06,how to do seo audit,/blog/seo-audit-checklist,4,196,0.0204,10.73
2025-10-06,website seo audit,/blog/seo-audit-checklist,2,63,0.0317,17.04
2025-10-06,technical seo guide,/blog/technical-seo-guide,6,191,0.0314,8.2
2025-10-06,technical seo checklist,/blog/technical-seo-guide,2,40,0.05,6.13
2025-10-06,improve crawlability,/blog/technical-seo-guide,2,59,0.0339,12.25
2025-10-06,seo audit checklist,/blog/technical-seo-guide,4,25,0.16,1.83
2025-10-06,ecommerce seo tips,/blog/ecommerce-seo-tips,0,113,0.0354,11.29
2025-10-06,seo for online store,/blog/ecommerce-seo-tips,12,104,0.1154,2.75
2025-10-06,product page seo,/blog/ecommerce-seo-tips,1,100,0.01,13.36
2025-10-06,local seo milan,/blog/local-seo-milan,4,111,0.036,12.47
2025-10-06,seo specialist milan,/blog/local-seo-milan,1,25,0.04,8.72
2025-10-06,google maps seo,/blog/local-seo-milan,4,141,0.0284,11.93
2025-10-06,seo consultant,/services/seo-consulting,2,73,0.0274,10.88
2025-10-06,seo consulting services,/services/seo-consulting,4,107,0.0374,9.19
2025-10-06,freelance seo specialist,/services/seo-consulting,1,69,0.0145,13.8
2025-10-06,technical seo services,/services/technical-seo,2,177,0.0113,15.73
2025-10-06,site speed seo,/services/technical-seo,4,81,0.0494,6.51
2025-10-06,core web vitals seo,/services/technical-seo,5,120,0.0417,9.85
